id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	अर्थः	meaning
niti_001	नीतिशतकम् 1	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	दिक्-कालाद्यनवच्छिन्नानन्त-चिन्-मात्र-मूर्तये । स्वानुभूत्य्-एक-मानाय नमः शान्ताय तेजसे ॥	दिक्-कालाद्यनवच्छिन्नानन्त-चिन्-मात्र-मूर्तये ।		स्वानुभूत्य्-एक-मानाय नमः शान्ताय तेजसे ॥		दिक्-कालाद्यनवच्छिन्नानन्त-चिन्-मात्र-मूर्तये ।		स्वानुभूत्य्-एक-मानाय नमः शान्ताय तेजसे ॥		TRUE	TRUE	TRUE	संस्कृतार्थम् अत्र स्थापयामि	Salutations to that peaceful Light, which is the embodiment of pure, infinite consciousness, unconditioned by direction, time, etc., and which can be known only through self-realization.
niti_002	नीतिशतकम् 2	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	बोद्धारो मत्सर-ग्रस्ताः प्रभवः स्मय-दूषिताः । अबोधोपहताः चान्ये जीर्णमङ्गे सुभाषितम् ॥	बोद्धारो मत्सर-ग्रस्ताः	प्रभवः स्मय-दूषिताः ।	अबोधोपहताः चान्ये	जीर्णमङ्गे सुभाषितम् ॥					FALSE	TRUE	TRUE	विद्वांसः द्वेषेण आवृताः । समर्थाः राजानः अहङ्कारेण मलिनाः । इतरे साधारणाः सुभाषितानि अवगन्तुम् असमर्थाः । एवं सति सुभाषितं वक्तुः मुखे एव जीर्णं भवति ।व्यर्थः भवति इति भावः ।	The learned are consumed by envy, the powerful are corrupted by pride, and others are afflicted with ignorance. Thus, wise sayings perish within oneself, finding no worthy recipient.
niti_003	नीतिशतकम् 3	आर्या --> यस्याः पादे प्रथमे द्वादशमात्रास्तथा तृतीयेऽपि ।अष्टादश द्वितीये चतुर्थके पञ्चदश साऽऽर्या ॥ 	अज्ञः सुखमाराध्यः सुखतरमाराध्यते विशेषज्ञः । ज्ञान-लव-दुर्विदग्धं ब्रह्मापि नरं न रञ्जयति ॥	अज्ञः सुखमाराध्यः	सुखतरमाराध्यते विशेषज्ञः ।	ज्ञान-लव-दुर्विदग्धम्	ब्रह्मापि नरं न रञ्जयति ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	An ignorant person is easy to please, and an expert is even easier to please. However, even the creator Brahma cannot satisfy a person who is puffed up with a mere particle of knowledge.
niti_004	नीतिशतकम् 4	पृथ्वी --> जसौ जसयला वसुग्रहयतिश्च पृथ्वी गुरुः 	प्रसह्य मणिमुद्धरेन्मकर-वक्त्र-दंष्ट्रान्तरात्समुद्रमपि सन्तरेत्प्रचलदूर्मि-मालाकुलम् । भुजङ्गमपि कोपितं शिरसि पुष्पवद्धारयेत्न तु प्रतिनिविष्ट-मूर्ख-जन-चित्तमाराधयेत् ॥	प्रसह्य मणिमुद्धरेन्मकर-वक्त्र-दंष्ट्रान्तरात्	समुद्रमपि सन्तरेत्प्रचलदूर्मि-मालाकुलम् ।	 भुजङ्गमपि कोपितं शिरसि पुष्पवद्धारयेत्	न तु प्रतिनिविष्ट-मूर्ख-जन-चित्तमाराधयेत् ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	One might forcibly extract a gem from between a crocodile's teeth, cross an ocean agitated by rows of surging waves, and even wear an enraged serpent on one's head like a flower. But one can never please the mind of a stubborn fool.
niti_005	नीतिशतकम् 5	पृथ्वी --> जसौ जसयला वसुग्रहयतिश्च पृथ्वी गुरुः 	लभेत सिकतासु तैलमपि यत्नतः पीडयन्पिबेच्च मृग-तृष्णिकासु सलिलं पिपासार्दितः । कदाचिदपि पर्यटन् शशविषाणमासादयेन्नतु प्रतिनिविष्ट-मूर्ख-जन-चित्तमाराधयेत् ॥	लभेत सिकतासु तैलमपि यत्नतः पीडयन्	पिबेच्च मृग-तृष्णिकासु सलिलं पिपासार्दितः ।	 कदाचिदपि पर्यटन् शशविषाणमासादयेत्	न तु प्रतिनिविष्ट-मूर्ख-जन-चित्तमाराधयेत् ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	By pressing with effort, one might even obtain oil from sand; tormented by thirst, one might drink water from a mirage; and while wandering, one might even find a hare's horn. But one can never please the mind of a stubborn fool.
niti_006	नीतिशतकम् 6	शार्दूलविक्रीडितम् -->  सूर्याश्वैर्यदि मः सजौ सततगाः शार्दूलविक्रीडितम्	व्यालं बाल-मृणाल-तन्तुभिरसौ रोद्धुं समुज्जृम्भते छेत्तुं वज्र-मणिं शिरीष-कुसुम-प्रान्तेन सन्नह्यते । माधुर्यं मधु-बिन्दुना रचयितुं क्षारामुधेरीहते नेतुं वाञ्छन्ति यः खलान्पथि सतां सूक्तैः सुधा-स्यन्दिभिः ॥	व्यालं बाल-मृणाल-तन्तुभिरसौ रोद्धुं समुज्जृम्भते	छेत्तुं वज्र-मणिं शिरीष-कुसुम-प्रान्तेन सन्नह्यति ।	 माधुर्यं मधु-बिन्दुना रचयितुं क्षारामुधेरीहते । 	माधुर्यं मधु-बिन्दुना रचयितुं क्षारामुधेरीहते					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	He who wishes to lead the wicked onto the path of the good with nectar-dripping wise sayings is attempting the impossible. It is like trying to restrain a rogue elephant with lotus filaments, cut a diamond with a Siris flower's powderpuff edge, or sweeten the salt ocean with a drop of honey.
niti_007	नीतिशतकम् 7	उपजातिः --> अनन्तरोदीरितलक्ष्मभाजौ पादौ यदीयावुपजातयस्ताः	स्वायत्तमेकान्त-गुणं विधात्रा विनिर्मितं छादनमज्ञतायाः । विशेषतः सर्व-विदां समाजे विभूषणं मौनमपण्डितानाम् ॥	स्वायत्तमेकान्त-गुणं विधात्रा 	विनिर्मितं छादनमज्ञतायाः ।	विशेषतः सर्व-विदां समाजे ।	विभूषणं मौनमपण्डितानाम् ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	The Creator has fashioned silence as a covering for ignorance, a virtue entirely within one's own control. Especially in an assembly of the learned, silence is an ornament for the unscholarly
niti_008	नीतिशतकम् 8	शिखरिणी -->  रसैः रुद्रैश्छिन्ना यमनसभला गः शिखरिणी	यदा किञ्चिज्-ज्ञोऽहं द्विप इव मदान्धः समभवं तदा सर्वज्ञोऽस्मीत्यभवदवलिप्तं मम मनः । यदा किञ्चित्किञ्चिद्बुधजन-सकाशादवगतं तदा मूर्खोऽस्मीति ज्वर इव मदो मे व्यपगतः ॥	यदा किञ्चिज्-ज्ञोऽहं द्विप इव मदान्धः समभवम्	तदा सर्वज्ञोऽस्मीत्यभवदवलिप्तं मम मनः । 	यदा किञ्चित्किञ्चिद्बुधजन-सकाशादवगतं 	तदा मूर्खोऽस्मीति ज्वर इव मदो मे व्यपगतः ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	When I knew only a little, I became blinded by pride like an elephant in rut, and my mind grew arrogant, thinking, "I am all-knowing." But when I learned a little more from the company of the wise, my pride subsided like a fever, as I realized, "I am a fool."
niti_009	नीतिशतकम् 9	हरिणी --> रसयुगहयैर्न्सौ म्रौ स्लौ गो यदा हरिणी तदा	कृमि-कुल-चितं लाला-क्लिन्नं विगन्धि-जुगुप्सितं निरुपम-रसं प्रीत्या खादन्नरास्थि निरामिषम् । सुरपतिमपि श्वा पार्श्वस्थं विलोक्य न शङ्कते न हि गणयति क्षुद्रो जन्तुः परिग्रह-फल्गुताम् ॥	कृमि-कुल-चितं लाला-क्लिन्नं विगन्धि-जुगुप्सितम्	निरुपम-रसं प्रीत्या खादन्नरास्थि निरामिषम् ।	 सुरपतिमपि श्वा पार्श्वस्थं विलोक्य न शङ्कते	न हि गणयति क्षुद्रो जन्तुः परिग्रह-फल्गुताम् ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	A dog, delightedly chewing on a fleshless human bone—infested with worms, wet with saliva, foul-smelling, and repulsive—does not feel threatened even upon seeing Indra, the king of gods, standing nearby. Indeed, a lowly creature does not consider the worthlessness of its possessions.
niti_010	नीतिशतकम् 10	शिखरिणी -->  रसैः रुद्रैश्छिन्ना यमनसभला गः शिखरिणी	शिरः शार्वं स्वर्गात्पशुपति-शिरस्तः क्षितिधरं महीध्रादुत्तुङ्गादवनिमवनेश्चापि जलधिम् । अधोऽधो गङ्गेयं पदमुपगता स्तोकमथवा विवेक-भ्रष्टानां भवति विनिपातः शतमुखः ॥	शिरः शार्वं स्वर्गात्पशुपति-शिरस्तः क्षितिधरम्	महीध्रादुत्तुङ्गादवनिमवनेश्चापि जलधिम् ।	अधोऽधो गङ्गेयं पदमुपगता स्तोकमथवा	विवेक-भ्रष्टानां भवति विनिपातः शतमुखः ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	The river Ganga descended from heaven to Shiva's head, from there to the Himalayas, from the high mountains to the earth, and from the earth to the ocean, thus reaching a progressively lower state. Or rather, it illustrates that the downfall of those who have lost their sense of discretion happens in a hundred different ways.
niti_011	नीतिशतकम् 11	शार्दूलविक्रीडितम् -->  सूर्याश्वैर्यदि मः सजौ सततगाः शार्दूलविक्रीडितम्	शक्यो वारयितुं जलेन हुतभुक्च्छत्रेण सूर्यातपो नागेन्द्रो निशिताग्कुशेन समदो दण्डेन गो-गर्दभौ । व्याधिर्भेषज-सङ्ग्रहैश्च विविधैर्मन्त्र-प्रयोगैर्विषं सर्वस्यौषधमस्ति शास्त्र-विहितं मूर्खस्य नास्त्यौषधम् ॥	शक्यो वारयितुं जलेन हुतभुक्च्छत्रेण सूर्यातपः	नागेन्द्रो निशिताग्कुशेन समदो दण्डेन गो-गर्दभौ । 	व्याधिर्भेषज-सङ्ग्रहैश्च विविधैर्मन्त्र-प्रयोगैर्विषम्	सर्वस्यौषधमस्ति शास्त्र-विहितं मूर्खस्य नास्त्यौषधम् ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	 Fire can be quelled with water, the sun's heat with an umbrella, a rogue elephant with a sharp goad, and a cow or donkey with a stick. Disease can be cured with various medicines and poison with mantras. There is a scripturally prescribed remedy for everything, but there is no remedy for a fool.
niti_012	नीतिशतकम् 12	उपजातिः --> अनन्तरोदीरितलक्ष्मभाजौ पादौ यदीयावुपजातयस्ताः	साहित्य-सङ्गीत-कला-विहीनः साक्षात्पशुः पुच्छ-विषाण-हीनः । तृणं न खादन्नपि जीवमानः तद्भागधेयं परमं पशूनाम् ॥ १२॥	साहित्य-सङ्गीत-कला-विहीनः 	साक्षात्पशुः पुच्छ-विषाण-हीनः ।	तृणं न खादन्नपि जीवमानः	तद्भाग-धेयं परमं पशूनाम् ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	 A person devoid of literature, music, and art is truly an animal, though without a tail and horns. That he lives without eating grass is the supreme good fortune of the other animals.
niti_013	नीतिशतकम् 13	उपजातिः --> अनन्तरोदीरितलक्ष्मभाजौ पादौ यदीयावुपजातयस्ताः	येषां न विद्या न तपो न दानं ज्ञानं न शीलं न गुणो न धर्मः । ते मर्त्य-लोके भुवि भार-भूता मनुष्य-रूपेण मृगाश्चरन्ति ॥	येषां न विद्या न तपो न दानं	ज्ञानं न शीलं न गुणो न धर्मः ।	ते मर्त्य-लोके भुवि भार-भूताः	मनुष्य-रूपेण मृगाश्चरन्ति ॥									
niti_014	नीतिशतकम् 14															
niti_015	नीतिशतकम् 15															
niti_016	नीतिशतकम् 16															
niti_017	नीतिशतकम् 17															
niti_018	नीतिशतकम् 18															
niti_019	नीतिशतकम् 19															
niti_020	नीतिशतकम् 20															
niti_021	नीतिशतकम् 21															
niti_022	नीतिशतकम् 22															
niti_023	नीतिशतकम् 23															
niti_024	नीतिशतकम् 24															
niti_025	नीतिशतकम् 25															
niti_026	नीतिशतकम् 26															
niti_027	नीतिशतकम् 27															
niti_028	नीतिशतकम् 28															
niti_029	नीतिशतकम् 29															
